"Timestamp","Overall, I’m a pretty positive person, and I believe in my potential.","I believe that if you work hard at something there will always be a degree of progress.","My intelligence isn’t fixed, and I can become smarter.","I like to be left alone to get on with my job.","I seek the approval of others- it matters to me that my colleagues think highly of me.","I take feedback as a chance to grow and improve what I’m doing. ","I enjoy teaching others, since it helps me grow my own skills and abilities.","I am better at starting new projects than completing them.","There are things that no matter how hard you work you cannot improve.","The harder I work at something, the better I can be at it.","It was easier to be productive pre covid than in the online age of learning.","I've found better ways to spend my time and remain constructive during lockdown and quarantine. ","I have significantly grown to understand my personality and how it affects my workstyle.","The lockdown and quarantine put me in a more monotonous routine that was mentally draining. ","I am currently pursuing my degree in B.Tech Degree in the year:","I chose this career path and I'm content with my choice.","I often find myself reevaluating my career choice. ","Regardless of my interest in my career field I manage to learn and understand my curriculum. ","I enjoy learning and researching over various subfields or topics in my career field. ","I might not enjoy learning my curriculum but I enjoy the field of study in general. ( You might not particularly enjoy some subjects in IT but you enjoy doing web development)","I can visualize my career goal and the need to continue learning even when I experience failure. ","I feel good about myself when I am able to complete my work with ease.","My grades don't reflect my true potential in the field and I believe I will perform better in industries.","Please enter your current CGPA ","I feel like I struggle to be creative and innovative in my class subjects and often rely on online material. ","I struggle to enjoy my classes and often feel frustrated by the course. ","It is extremely important for me to pursue this career field regardless of my interest. ","I would appreciate help and guidance to change my work style in order to achieve my career goals. ","If I had a choice to switch to a field of my liking I would go for it in order to feel more satisfied ","My school performance during high school between 10th to 12th grade were a lot better than my current performance in college","Please enter your percentage (percentage only) from grade 10th","Please enter your percentage (percentage only) from grade 12th","I wish to seek help with being able to remain goal driven and enthusiastic towards my career aspirations. "
"2021/04/09 12:50:31 PM GMT+5:30","(5) Strongly agree","(4) Agree","(2) Disagree","(4) Agree","(5) Strongly agree","(4) Agree","(2) Disagree","(4) Agree","(3) Neutral","(4) Agree","","","","","Third Year","(2) Disagree","(4) Agree","(4) Agree","(4) Agree","","(4) Agree","(4) Agree","(5) Strongly Agree","6.2","(5) Strongly Agree","(5) Strongly Agree","(5) Strongly Agree","","","","","",""
"2021/04/09 1:45:12 PM GMT+5:30","(5) Strongly agree","(5) Strongly agree","(5) Strongly agree","(3) Neutral","(5) Strongly agree","(4) Agree","(4) Agree","(3) Neutral","(2) Disagree","(1) Strongly disagree","","","","","Fourth Year","(4) Agree","(2) Disagree","(4) Agree","(3) Neutral","(5) Strongly Agree","(5) Strongly Agree","(3) Neutral","(5) Strongly Agree","","(2) Disagree","(4) Agree","(1) Strongly disagree","","","","","",""
"2021/04/09 3:10:37 PM GMT+5:30","5","4","5","4","5","4","4","5","4","4","","","","","Third Year","1","5","4","4","2","4","4","5","6.2","5","5","5","5","","","","",""
"2021/04/09 3:26:07 PM GMT+5:30","4","4","5","5","5","4","5","2","5","4","","","","","Fourth Year","4","5","5","5","4","4","5","5","7.51","2","4","4","4","","","","",""
"2021/04/09 3:49:05 PM GMT+5:30","4","5","5","4","4","4","5","4","2","5","","","","","Third Year","4","1","5","5","5","4","5","5","8.65","4","2","1","5","","","","",""
"2021/04/09 3:49:09 PM GMT+5:30","4","4","2","3","4","4","5","3","3","4","","","","","Third Year","3","4","4","4","4","3","5","4","8.63","4","3","3","5","","","","",""
"2021/04/09 3:55:09 PM GMT+5:30","5","5","5","3","4","5","3","4","1","5","","","","","Third Year","4","4","4","5","5","4","5","5","7.77","2","4","3","5","","","","",""
"2021/04/09 3:58:17 PM GMT+5:30","4","5","5","3","2","4","3","2","4","5","","","","","Fourth Year","4","2","4","2","4","4","5","4","7.7","4","2","2","5","","","","",""
"2021/04/09 3:59:11 PM GMT+5:30","4","5","5","1","4","4","5","5","4","5","","","","","Third Year","5","5","5","3","5","5","4","4","7","5","5","4","4","","","","",""
"2021/04/09 4:02:22 PM GMT+5:30","5","5","5","3","1","4","5","2","1","5","","","","","Third Year","5","1","4","5","5","5","5","5","7.20","2","4","1","4","","","","",""
"2021/04/09 4:07:50 PM GMT+5:30","4","4","4","1","2","5","5","2","3","5","","","","","Fourth Year","5","1","4","4","4","4","4","4","7.27","2","2","2","5","","","","",""
"2021/04/09 4:22:02 PM GMT+5:30","3","4","5","5","3","4","5","4","5","4","","","","","Fourth Year","4","2","5","3","5","4","5","5","8.18","4","4","5","5","","","","",""
"2021/04/09 4:22:55 PM GMT+5:30","4","5","5","5","3","4","4","3","2","5","","","","","Fourth Year","5","2","5","4","4","5","5","5","9.2","5","3","3","4","","","","",""
"2021/04/09 4:24:38 PM GMT+5:30","4","5","4","5","3","5","4","2","1","5","","","","","Third Year","4","1","4","3","4","4","5","5","8.14","3","3","1","5","","","","",""
"2021/04/09 4:24:52 PM GMT+5:30","4","5","5","4","4","2","5","4","5","4","","","","","Fourth Year","4","3","3","5","4","3","5","2","7.53","5","4","2","5","","","","",""
"2021/04/09 4:25:42 PM GMT+5:30","2","5","5","3","4","5","4","4","2","5","","","","","Fourth Year","4","5","4","3","4","4","5","5","8.06","4","4","4","4","","","","",""
"2021/04/09 4:31:20 PM GMT+5:30","3","5","4","4","4","4","3","2","2","5","","","","","Fourth Year","1","1","3","4","4","2","4","4","7.04","5","4","1","5","","","","",""
"2021/04/09 4:51:07 PM GMT+5:30","5","5","5","3","2","5","5","1","3","4","","","","","Fourth Year","5","1","4","5","5","5","5","1","7.99","4","2","3","5","","","","",""
"2021/04/09 5:01:10 PM GMT+5:30","5","5","5","3","5","5","5","5","1","5","","","","","Fourth Year","4","2","2","5","5","4","5","3","7.58","1","5","5","5","","","","",""
"2021/04/09 6:07:18 PM GMT+5:30","4","5","5","5","3","4","4","3","2","5","","","","","Fourth Year","5","2","5","4","4","5","5","5","9.2","5","3","3","4","","","","",""
"2021/04/09 6:19:36 PM GMT+5:30","4","5","4","3","3","5","3","3","4","3","","","","","Fourth Year","4","3","5","4","3","3","3","4","7.1","3","3","4","4","","","","",""
"2021/04/09 6:42:52 PM GMT+5:30","5","2","5","2","5","5","4","2","1","5","","","","","Fourth Year","5","5","3","3","4","3","4","3","8.9","4","4","5","5","5","5","","",""
"2021/04/09 7:00:19 PM GMT+5:30","4","5","4","2","1","4","2","5","1","4","5","5","5","2","Third Year","2","4","5","4","5","4","5","5","6.2","5","4","5","5","4","2","60%","69.8%","5"
"2021/04/09 7:05:42 PM GMT+5:30","5","5","5","5","1","5","5","3","1","5","1","5","5","1","Third Year","5","1","5","5","5","5","5","5","8.5","1","5","5","5","3","1","80","80","5"
"2021/04/09 7:10:42 PM GMT+5:30","2","5","5","3","4","4","4","5","3","5","1","5","5","1","Fourth Year","4","5","4","3","4","3","5","5","8.06","4","4","3","4","4","5","89.6","86.8","5"
"2021/04/09 7:21:59 PM GMT+5:30","3","3","4","5","3","4","4","3","3","4","3","2","3","3","Third Year","4","3","4","4","3","3","4","3","6.94","4","3","3","4","3","3","74","64","3"
"2021/04/09 7:22:53 PM GMT+5:30","4","4","4","4","3","3","3","4","4","3","4","5","4","4","Third Year","4","2","3","5","3","4","5","5","6.68","4","5","3","4","4","3","74","NA","3"
"2021/04/09 7:29:04 PM GMT+5:30","4","4","5","3","3","4","3","4","4","5","5","3","3","4","Third Year","2","5","3","3","4","4","5","4","6","3","3","2","4","4","3","88","71","4"
